AGUY,FR-PAC,Antilles-Guyane
AIXM,FR-PAC,Aix-Marseille
AIX1,FR-PAC,Aix-Marseille 1
AIX2,FR-PAC,Aix-Marseille 2
AIX3,FR-PAC,Aix-Marseille 3
ALGF,0,Alger (1909-1962)
AMIE,FR-HDF,Amiens
ANGE,FR-PDL,Angers
ANTI,0,Antilles
ARTO,FR-NOR,Artois
ASSA,FR-IDF,Université Paris-Panthéon-Assas
AVIG,FR-PAC,Avignon
AZUR,FR-PAC,Université Côte d'Azur (ComUE)
BELF,FR-BFC,Belfort Montbéliard
BESA,FR-BFC,Besanà§on
BORD,FR-NAQ,Bordeaux
BORU,FR-NAQ,Université de Bordeaux (1441-1970)
BOR1,FR-NAQ,Bordeaux 1
BOR2,FR-NAQ,Bordeaux 2
BOR3,FR-NAQ,Bordeaux 3
BOR4,FR-NAQ,Bordaux 4
BRES,FR-BRE,Brest - Bretagne occidentale
CAEN,FR-NOR,Caen
CERG,FR-IDF,Cergy-Pontoise
CHAM,FR-ARA,Chambéry
CLFD,FR-ARA,Université de Clermont-Ferrand
CLFA,FR-ARA,Université Clermont Auvergne (2017-2020)
CLF1,FR-ARA,Clermont-Ferrand 1
CLF2,FR-ARA,Clermont-Ferrand 2
COAZ,FR-PAC,Université Côte d'Azur
COMP,FR-HDF,Compiègne
CORT,FR-20R,Corte
CYUN,FR-IDF,CY Cergy Paris Université
DIJO,FR-BFC,Dijon
DUNK,FR-HDF,Littoral Dunkerque
EVRY,FR-IDF,Evry Val d'Essonne
GRAL,FR-ARA,Université Grenoble Alpes
GREA,FR-ARA,Université Grenoble Alpes (ComUE)
GREN,FR-ARA,Grenoble
GRE1,FR-ARA,Grenoble 1
GRE2,FR-ARA,Grenoble 2
GRE3,FR-ARA,Grenoble 3
GFDE,FR-ARA,Faculté de Droit et Sciences économiques de Grenoble
GFLH,FR-ARA,Faculté de Lettres et Sciences humaines de Grenoble
GRFD,FR-ARA,Faculté de droit de Grenoble
GRFL,FR-ARA,Faculté de Lettres de Grenoble
LARE,FR-LRE,La Réunion
LARO,FR-NAQ,La Rochelle
LEHA,FR-NOR,Le Havre
LEMA,FR-CVL,Le Mans
LILU,FR-HDF,Université de Lille (2018-2021)
LIL1,FR-HDF,Lille 1
LIL2,FR-HDF,Lille 2
LIL3,FR-HDF,Lille 3
LIFS,FR-HDF,Faculté des sciences de Lille
LILL,FR-HDF,Université de Lille
LIMO,FR-NAQ,Limoges
LORI,FR-BRE,Lorient - Bretagne sud
LORR,FR-GES,Université de Lorraine
LYO1,FR-ARA,Lyon 1
LYO2,FR-ARA,Lyon 2
LYO3,FR-ARA,Lyon 3
LYFM,FR-ARA,Faculté de médecine et de pharmacie de Lyon
LYFS,FR-ARA,Faculté de sciences de Lyon
LYMP,FR-ARA,Ecole préparatoire de médecine et de pharmacie de Lyon
LYON,FR-ARA,Université de Lyon
LYSE,FR-ARA,Lyon (COMUE)
MARN,FR-IDF,Marne la Vallée
METZ,FR-GES,Metz
MONT,FR-OCC,Montpellier
MON1,FR-OCC,Montpellier 1
MON2,FR-OCC,Montpellier 2
MON3,FR-OCC,Montpellier 3
MULH,FR-GES,Mulhouse
NAFD,FR-GES,Faculté de droit de Nancy
NAFL,FR-GES,Faculté des lettres de Nancy
NAFS,FR-GES,Faculté des sciences de Nancy
NAN1,FR-GES,Nancy 1
NAN2,FR-GES,Nancy 2
NANT,FR-PDL,Nantes
NCAL,0,Nouvelle Calédonie
NICE,FR-PAC,Nice
NIME,FR-OCC,Nîmes
NORM,FR-NOR,Normandie (COMUE)
ORLE,FR-CVL,Orléans
PA00,FR-IDF,Université de Paris (1896-1968)
PA01,FR-IDF,Paris 1
PA02,FR-IDF,Paris 2
PA03,FR-IDF,Paris 3
PA04,FR-IDF,Paris 4
PA05,FR-IDF,Paris 5
PA06,FR-IDF,Paris 6
PA07,FR-IDF,Paris 7
PA08,FR-IDF,Paris 8
PA09,FR-IDF,Paris 9
PA10,FR-IDF,Paris 10
PA11,FR-IDF,Paris 11
PA12,FR-IDF,Paris 12
PA13,FR-IDF,Paris 13
PACI,0,Pacifique
PAFD,FR-IDF,Faculté de Droit de Paris
PAFL,FR-IDF,Faculté des Lettres de Paris
PAFM,FR-IDF,Faculté de Médecine de Paris
PAFS,FR-IDF,Faculté des Sciences de Paris
PAPH,FR-IDF,Ecole supérieure de pharmacie de Paris
PATC,FR-IDF,Faculté de Théologie catholique de Paris
PATP,FR-IDF,Faculté de Théologie protestante de Paris
PAUU,FR-NAQ,Pau
PERP,FR-OCC,Perpignan
PESC,FR-IDF,Paris Est (COMUE)
PEST,FR-IDF,Paris Est (PRES)
POIT,FR-NAQ,Poitiers
POLF,0,Polynésie franà§aise
REIM,FR-GES,Reims
REN0,FR-BRE,Université de Rennes
REN1,FR-BRE,Rennes 1
REN2,FR-BRE,Rennes 2
